pcrel,p,c
1199,Filament,taz 6 - just noticed the y-axis doesn't touch the table
1200,Filament,need a hand troubleshooting this issue please
1201,Filament,taz 5 pla have to cold pull after every print
1202,Filament,taz 4.1 extruder motor problems
1203,Filament,taz 5 only extrudes filament for a couple of seconds
1204,Filament,taz 6 dual extruder questions
1205,Filament,pla doesn't stick to the heated bed?
1206,Filament,taz 5 extruder issue
1207,Filament,weird extrusion issue
1208,Filament,taz 6 skipping commands at end of gcode files
1209,Filament,lulzbot taz 5 filament extruding very slowly
1210,Filament,questions for building an enclosure
1211,Filament,tip to keep tip clean
1212,Filament,extrusion jam before the heated head (photos)
1213,Filament,"lines in print, need help please!"
1214,Filament,finest layer setting for taz 5
1215,Filament,improving the flexydually cleaning and leveling
1216,Filament,taz 3 - suddenly stopped working
1217,Filament,does flexystruder work with all filaments?
1218,Filament,extruder jams on larger prints and other problems
1219,Filament,printing hard plastic in a flexistuder
1220,Filament,building an enclosure
1221,Filament,taz 6 oddity...
1222,Filament,flexydually - clogged front hotend on test print
1223,Filament,need guidance: printing calibration cubes with flat corners
1224,Filament,taz 6 single or dual head
1225,Filament,successful printing???
1226,Filament,flexydually or dual extruder
1227,Filament,mini flexystruder on taz 5?
1228,Filament,taz 5 printed parts
1229,Filament,lulzbot v2 hot end w/ stainless steel or other high quality nozzle?
1230,Filament,retraction / bubbles
1231,Filament,extrusion problem with dual extruder v2
1232,Filament,how do you clean taz 5 nozzle regularly?
1233,Filament,extruder calibration
1234,Filament,can we just use regular taz5 .050 print head for flexible filament?
1235,Filament,adhesion nightmares
1236,Filament,taz5 filament holder lever thing broke... easy to replace?
1237,Filament,help...extruder motor is working but no filament being extruded
1238,Filament,manual control of extruders via lcd
1239,Filament,printer not printing.. maybe blockage?
1240,Filament,x-axis bushings loose
1241,Filament,don't know what's going on. help would be appreciated
1242,Filament,flexystruder too tight for filament
1243,Filament,filament binding
1244,Filament,taz5 unwanted retraction - confused?
1245,Filament,grinding through pla at a crazy rate
1246,Filament,melted filament coming out top of heat block.
1247,Filament,"modified taz5 for 1.7mm filament, have 'bulging' corners"
1248,Filament,filament support for dual extruders
1249,Filament,taz5 dual v2 issue - could it be firmware ?
1250,Filament,fixed my wobbletaz5
1251,Filament,filament near end of spool problem
1252,Filament,issue with filament/extruder
1253,Filament,what should i actually expect from my taz 5 with minimal modifications
1254,Filament,squashing on bottom of abs parts
1255,Filament,taz5 vs. makergear m2
1256,Filament,adding the dual extruder
1257,Filament,filament temperatures
1258,Filament,any success with the dual metal taz (dual v2)?
1259,Filament,cant get prints to correct size
1260,Filament,dual extruder v2 filament guide bracket
1261,Filament,retraction problem.  ideas?
1262,Filament,abs microclimate
1263,Filament,brand new taz5 extruder problems
1264,Filament,new taz 5 - extruder feed motor does not rotate
1265,Filament,nozzle diameter vs actual extrusion diameter
1266,Filament,hotend won't hold temp w/ fan above 55%
1267,Filament,"severe issues with pla and petg, + questions"
1268,Filament,printing a plen2 (how to make parts fit)
1269,Filament,new taz 5 - issues with taller prints - consistent height ribbing / waviness (solved)
1270,Filament,horizontal banding... bad!!!
1271,Filament,starting out poor
1272,Filament,taz 5 large print stopping mid-print - twice!
1273,Filament,anyone looking for a taz 5
1274,Filament,apologies if it's a dupe: conversion to 1.7mm?
1275,Filament,filament getting stuck.
1276,Filament,trouble with prints staying down.
1277,Filament,lulzbot flexystruder
1278,Filament,fundamental differences between mini and taz 5?
1279,Filament,taz 5 80mm fan shroud --  files linked
1280,Filament,new taz 5 owner - how do i use my tool bag?
1281,Filament,extruder tension knobs slipping
1282,Filament,taz4 --> taz5
1283,Filament,guide on upgrading taz4 with e3d v6
1284,Filament,weird sphere shape printout
1285,Filament,print failures / clog / hobbed bolt eating into filament
1286,Filament,leveling help for taz 5
1287,Filament,flexistruder question
1288,Filament,adeshion troubles
1289,Filament,help a newbie with his 1st 3d printer
1290,Filament,"dual extruder - prints extra ""block tower"""
1291,Filament,taz 5 pla random clogging issues and a solution.
1292,Filament,different z heights with different extruders
1293,Filament,print quality after layer >~6
1294,Filament,taz5 mimicking printing
1295,Filament,taz 4 clogging issues with pla
1296,Filament,enclosure design - $300 - looking for feedback/ideas
1297,Filament,quality problems
1298,Filament,filament arm pivot mod
1299,Filament,3d printable taz modifications
1300,Filament,taz 3 help
1301,Filament,deformation of extruder body
1302,Filament,unable to unscrew nozzle after clogged feed for several hours unattended.
1303,Filament,nozzle change
1304,Filament,hot end jam - filament really stuck.
1305,Filament,filament change?
1306,Filament,"feeder failure, unable to complete first print."
1307,Filament,anyone looking to buy a taz 5?
1308,Filament,trying to diagnose a printing problem
1309,Filament,taz 5 not powering on.
1310,Filament,fillament striping
1311,Filament,taz 5 nozzle clog
1312,Filament,taz 5 - first print nozzle problem
1313,Filament,taz1 fine tuning
1314,Filament,ninjaflex and pva spool spacers for the taz spool arms
1315,Filament,e3d v6 1.75mm mount
1316,Filament,esteps calibration madness
1317,Filament,thumb screws unscrewing
1318,Filament,new taz5 user needs help
1319,Filament,brand new taz 5 not extruding properly on day 2
1320,Filament,taz 4 idler bearing not rotating freely
1321,Filament,enclosure
1322,Filament,taz v nozzle clogging
1323,Filament,taz damaged out the box - help me fix it
1324,Filament,really frustrated.
1325,Filament,upgraded to taz 5 now print issues
1326,Filament,"taz 5 hotend problem, please help"
1327,Filament,abs sizes and clogging the taz
1328,Filament,holes in top layer
1329,Filament,taz 5 help! first layer failing pretty bad.
1330,Filament,hexagon hot end clogged with hips
1331,Filament,new taz 5 adhesion issue
1332,Filament,filament broken way down
1333,Filament,taz 5 extruding issues
1334,Filament,moving spool to left hand side of taz 5?
1335,Filament,taz 5 heat sink fan
1336,Filament,"i got question, there is a lot of them!"
1337,Filament,i'm in a jam!!
1338,Filament,several extruder questions...
1339,Filament,need help with abs bridging / make bridging test
1340,Filament,taz 5 hotend clogged
1341,Filament,filament stuck oozing out slowly
1342,Filament,small fan quit right after the hotend clogged.
1343,Filament,taz5 hexagon hotend fan
1344,Filament,taz4 misfeeding - hobbed bolt chewing filament
1345,Filament,questions about replacement nozzles
1346,Filament,new  taz 5 owner 3 weeks in
1347,Filament,improved taz fan duct
1348,Filament,new tool head v2 and ninja flex?
1349,Filament,taz 5 purchase
1350,Filament,new user seeking advice
1351,Filament,new tool head v2 first thoughts review
1352,Filament,hotend issues
1353,Filament,slightly gloppy edges (pla)
1354,Filament,taz 4 z axis wont move.
1355,Filament,a little stuck here.
1356,Filament,help with pla filament problems
1357,Filament,dual extruder tool head for sale!
1358,Filament,"hot end temp lowered when print starts, stringing results"
1359,Filament,very low extrusion rate after pla clog
1360,Filament,"i printed the test octopus twice, but the layers separated."
1361,Filament,trying out hips
1362,Filament,any thoughts about this delamination?
1363,Filament,improving dimensional accuracy on taz 4
1364,Filament,new taz4 owner and have hard time getting prints
1365,Filament,"taz4 abs prints lumpy, wavy, bumpy!"
1366,Filament,"taz 4 stopped extruding, now it's broken"
1367,Filament,general help with taz 4
1368,Filament,"taz 4 adhesion problems and ""wait for user"" on lcd screen"
1369,Filament,extruder hitting lower layer(s)
1370,Filament,pla jamming on taz 4
1371,Filament,taz 4 1.75mm filament q
1372,Filament,fan lowering hot end temp
1373,Filament,budasnozzle clogged. how do i unclog it?
1374,Filament,dual extruder and flexystruder
1375,Filament,extruder calibration not adding up
1376,Filament,new taz 4 on-order
1377,Filament,taz 4 filament holder bar strength question
1378,Filament,why do bad things happen after the print finishes?
1379,Filament,custom taz 3 with upgraded z-axis plus extras for sale
1380,Filament,filament keeps backing up
1381,Filament,layer adhesion problem
1382,Filament,taz 40mm fan mount designs/revisions
1383,Filament,"strange ""striping"" of extruded filament"
1384,Filament,rapid stripping of filament on hobbed gear
1385,Filament,taz 2 print quality finally sorted (hopefully)
1386,Filament,taz 3 ability to mid job pause/filliment change?
1387,Filament,"broke my herringbone gears, and fried stepper motor?"
1388,Filament,lulzbot customer support in need of an upgrade :-(
1389,Filament,plowing on 0.15 layer for some areas
1390,Filament,hobbed bolt and extruder have ~2mm offset
1391,Filament,hobbed bolt chewing through abs on taz 0.15 layer height
1392,Filament,bearing failure on printer head
1393,Filament,"unsure of cause, help?"
1394,Filament,rotator cuff - too much extrusion on corners or overhangs
1395,Filament,level and thickness?
1396,Filament,extruder reverses instead of extruding
1397,Filament,"hope you kept your taz box...simple ""heated"" enclosure"
1398,Filament,print help
1399,Filament,taz gears slipping.
1400,Filament,goofy first layers
