Replies_subject,relation,Replies_object
Answer1040,do,it
actions,for Tool0 is,back extruder
User1040,Once can slip,business card
User1040,level,Tool1
User1040,can try At,point
Answer1040,use,attached 20x20x5mm cube
's,do,print
bottom,should,should fairly smooth
Level Tool1,looks as,one printed on Tool0
Answer1040,can see,3 threads
nozzle,is,means
nozzle,is less means away from,farther bed
bed,is,level
Answer1040,use calibration ring at_time,Last tip
Answer1040,use,calibration ring
corner,is,lower
dial,quantify,distance of corner
cool prints,is with,flexydually
either,have,stepper motor short
stepper motor electrical short,leads to,motor
Answer1041,'d check,connectors
6,has,X maximum endstop
User1042,can see,it
carriage,mount,guide socket
User1042,trim,some
User1042,can bore out,bolt hole
User1042,Can send,me
User1042,Can send,link
Answer1043,clean,my nozzles
Answer1043,use,blue scotch brite pad
extruded filament,should drop out of,straight nozzle
User1043,have,blockage
hotend temp,extruding,plastic
types,can,can sometimes cleared
Answer1043,clear,orifice
Answer1043,use,drill
Answer1043,just heat,hotend
Answer1043,printing,temps
Answer1043,gently insert,bit
Answer1044,used,machinist
machinist,measuring,gauges
contacts,is with,moisture
coupler,does on,so many other printers
User1045,actually use,different coupler type
motion,rotates,top
motion,works,its way
slinky,be,slight delay
small spring,is In,case of Taz
motion,is,small
issues,is in,printers running
spider coupling,is,however more forgiving
spider coupling,is however more forgiving of,motor misallignment to shaft
hint,is in,regard
Answer1045,'ll give,hint
Answer1045,'ll give,you
Answer1046,was printing,hollow cylinder
Answer1046,was printing cylinder with,one end
stl file,was checked with,Netfabb
stl file,was,checked
Answer1046,can tell from,print
commands,increase z height after,first ~ 2 cm of model
g-code,seems,fine
line,is with,hotend bolts
print,was,supposed
Answer1046,right left,room
printer,increasing in,z
anyone,Has had,related issue
Answer1047,turning off,motors
your fix,will reset,itself
piercet,is,therefore correct
Answer1048,made,mine minimum sized enclosure
power supply,is on,outside on opposite side from electronics box
spool,gets off,track
spool,gets,too light towards end
design,has,look good
Killacycle 's spoolholder,mod with,threaded rod
Killacycle 's spoolholder,looks easier,mod
Killacycle,has,spoolholder
spool,rests on,rods
different manufacturers,have unfortunately,different spool diameters
User1050,can purchase,hour meters of various voltages
will several inches,is in,rear
bed,hangs over,end of frame
User1051,using,HWD dimensions of unit
User1051,use dimensions in,cat guard tutorial
right hand side,lower during,printing
right hand side,seems,lower
Answer1052,print,my first thing other
Answer1052,quickly hit,stop
Answer1052,was,able
hand side,was,4 mm
side,was,good
them,lined back up,axis
hand side,is,time lower than left
Answer1052,start,new print
Answer1052,find later,same issue
Answer1052,So correct,it
Answer1053,'ve wanted,try for while
mm tolerences,should work for,3 mm filament
series,is with,heater loop right at cable connection point
middle,does tend,hotter on glass bed
aluminum bed,will heat more evenly to,edge
other issue,is,apparent hump
The,is,rods
your adhesion success,will,Without modifications though will lower at edges than center
simple answer,run,fan
Pretty,easy,do
complicated answer,replace,standard 24v 30 watt heater
User1055,need,pins
issue,is with,rods themselves
set,will find,something
Answer1057,However 've gotten,it
Answer1057,save,weeks
Answer1057,save,you
User1057,lose,amount
User1057,significant amount of,stick
Nothing,good amount of,sanding
Answer1057,go over on,my long 15 hour prints
need,have,perfect bed adhesion
Answer1057,lose more,stickiness
Sand,clean with,IPA
Answer1057,do,everything
Answer1057,do everything by,visual sight
Answer1057,print,line
Answer1057,see,tracking
Answer1057,slowly raise,Z nut
User1057,doing at,center of your plate
Answer1058,'m going,put onto my Taz5
Answer1058,remove heat inserts from,existing plastic components
Answer1058,can keep,those intact in case
Answer1058,need,go
Answer1058,'m newbie with,heat inserts
Answer1058,'m,newbie
Answer1058,find,link to mcmaster carr
Answer1058,Should just get,short M3
Answer1058,'d appreciate,it
User1058,did happen,know
My other idea,inspect,current parts
Answer1059,am,new
Answer1059,am experiencing,same problem
Answer1059,have,stock Taz5
Marlin 2015Q3,Using,Cura Lulzbot edition 18.03 connected with USB cable to computer running Windows7
printer,just finishing,long x-axis run
time,is in,y-axis
Answer1059,checked,g-code
Answer1059,reading forum at_time,today
Answer1059,reading,forum
problem,has,has solved
anyone,Can tell,me
version 18.04-67db,is In,http://download.lulzbot.com/Software/Cura/Packages/
Answer1059,Should install,version of Cura
Cura Lulzbot edition,is based on,Ultimaker version
Ultimaker,has,printbed
Cura Lulzbot edition,is,based
Answer1060,have,similar problem with coupler on my mini
Answer1060,was,able
portion,is,completely gone
top portion,is completely gone On,another
portion,is with,hex recess
AO,had,gorilla
installing,couplers at_time,day
Answer1060,drill out,them
heat set inserts,tube for,flexystruders
openbuilds part store,has,openrails stuff
Digikey,is,good
http://openbuilds.org/link-forums/part-store.39/ Digikey,is,source
User1061,buy there,bag
User1061,need,more than few https://itworks3d.com/product/metric-br
development files,are named after,things as codenames
Taz,be,named after trees in alphabetical order
Taz,be named after,trees
latest taz 6 prototype,is,olive folder
User1062,will see production gcodes Inside,various folders
User1062,will see,production gcodes
User1062,will see,ao
particular batch,be produced instead of,taz
batch,be,produced
particular batch,was,sliced
folder,may also have,different versions of stl file
one version,is,newer more refined revision
version,is,refined
file,is,pre
pre sliced stl file,is in,printer specific format
V2 body,was,strengthened
V2 body,was strengthened around,tube
Hexagon,also has,smaller melt chamber
V2,has,provision for
PLA leaks,needs,exorcist
off 4/12/16,through % is,use coupon code
Answer1065,just upgraded CURA to,18.04
problem,is with,Windows version of Cura apparently related
Answer1065,just upgraded,CURA
Windows users,go,resolved
Answer1066,might look on,site
Answer1068,am looking for,scroll down menu item on lcd
User1068,extrude,going into Cura
valleys,are,filled
valleys,are filled with,filament
your clamp tightness,make,sure
likely start,is with,cold pull
explanations,do,it
nozzle,soaked in,acetone
nozzle,can,can removed
Answer1070,have got,agree
Y,are,moved
My main complaint,is,weight
rods,are undersized,begin
rods,are,undersized
additional weight,causes,problems
weight,was,centered
Piercet,has,openrail mod
Answer1071,will eventually get,to
Taz6,has,bigger rods
User1071,let,it
problem,is,bad
User1071,lift up on,front of head
heat sink,is,basis
heat,traveling up,filament
User1071,will see,you look
Answer1071,added,second blower
Answer1071,will share,my results
User1071,are planning on,printing
User1071,should,should OK
printing,is with,materials other than PLA
anyone else,comes across,post
anyone else,has problem in,Just case
Answer1072,measure,distances between my two calibration squares
distances,punch,them
my new offset values,entering,those in I
calculator,provided by,lulzbot
idler bearing,is in,particular
User1073,'ll see symptom,seized
User1073,'ll see,symptom
could printet,is with,your nozzle
Answer1074,would try,following
could printet,is in,one perimeter
User1074,invest,time
User1074,want to,experiment
User1074,might try,yes
Curas spiralize feature,be,broken
problem,is with,it
upper part,merge manualy,gcode parts
User1075,could point,me
Taz 4,is,2 year old printer model
Taz,is,old
Taz,is,year
Chances,has,used printer
User1076,bought,5
User1076,are under,warranty
heat block,be sealed to,upper tube
heat block,be,sealed
heat block,using,high temperature blue threadlocker
Yours,is,missing
upper tube,is,damaged
User1077,buying,used pre-done one
temperature threadlocker,is,about $ 45 per container so
leveling,going out of,level
bed,be,can couple things
bed,be,couple
small setscres,Check,Z motor couplers
setscres,cause,leadscrews
leadscrews,fail,turn
your verneir calipers,measure to,top of lower leadscrew bearing
distance,should,should exactly identical on sides
bed,corner of is,same distance
that,is,Once correct
Blue locktite,is,flammable
Blue locktite,is flammable at,300c
batch,is with,shafts
Most,were in,mini line
setscrews,are,loose
Answer1079,reAdjusting,flow rate
Answer1079,changed,first layer width
Answer1079,changed layer width to,200 percent
Answer1079,'m using,make shift enclosure
Answer1079,'m using make shift enclosure,I get
've hot boxing,is with,cardboard box
Answer1079,touched,it
Answer1079,Anyways 'm doing,everything
center,gets,hot
anyone else,Has noticed,issue
Answer1079,'ve already had,issues with natural filament discoloring for long prints
Answer1079,like,120C
Answer1079,Should just turn up,my bed
only other idea,use,ABS juice
issue,is with,PEI
order,is in,in TAZ 5
in TAZ 5,thanks for,input
there,blasted,1/4 MIC6 plate
there,seems In,Makergear M2 world
great success,is with,surface
forum,member of been,has bead
Answer1080,have,one
One member,is in,particular
Answer1080,be,excited
extensive mod,is on,table
User1081,play with,washer positions
User1081,may need,play
User1082,got,vernier calipers
vernier calipers,measure,thickness
Answer1082,'m,sure
User1082,flash,older firmware
firmware,be flashed on,on toolhead version
firmware,be,flashed
User1082,'ll most likely get,V2
Lulzbot Edition,has,good quickprint profiles
thinner layer height,will yield results In,general
best prints,choose,High Detail radio button
nozzle diameter,is,high limit
nozzle diameter,Typically is high limit for,layer height
.4,is,reasonable
Most folks,use,.3 layer heights
.4,is reasonable for,.5 nozzle
nozzle diameter,is,better
Smaller nozzle diameter,is better for,delicate intricate designs
User1082,printing,lattices
.5 nozzle,is fine For,practical parts around farm
.5 nozzle,is,fine
User1082,more get,wider extrusion
Closerthe,thinner,squeeze
Cura,will keep,last used settings
User1082,close,application
chart,is with,recommended bed temps for type of filament
Lulzbot,has,chart
range,will,typically will marked on spool
Answer1082,like For,eSUN ABS
Answer1082,using 245C extrusion temp for,layers
bed temp,vary,extrusion temp
That,just works best for,my print environment
User1082,'ll have,determine
User1083,mean,long guide tube
Answer1083,thought,try
User1084,using,gcode
User1084,would have For,Mini
User1084,execute,same function
Answer1084,would find,100 MM calibration model
User1085,should reset,e values
User1085,starting,print
Answer1086,got on,phone
Answer1086,called,tech support
Answer1086,tried,motor
Answer1086,put back on,belt
support,shortly see,getting
40x40 fan,should increase,airflow
40x40 fan,should increase airflow,said
40x40 fan,should increase airflow over,OEM blower
airflow,so wraps around,fins
duct,possibly part of,transition zone
duct,possibly part of,heat break
duct,capture,lowest part of heatsink
exhaust,decrease,backflow
consistent 3 mm,way to,heater block
jamming,Keeping,filament solid
Friction,rubbery to,liquid
more information,for PS is,Prometheus Hotend Campaign
plastic,remains in,cold-zone
its Glass Transition Temperature,is in,transition-zone
its,Temperature,Tm
transition-zone,in Temperature is,Tg
plastic,turns,soft
soft rubbery plastic,plug of is,leading cause
plug,is source of,friction in hot end
plug,is leading cause of,hot end jams
User1089,can replace,most expensive part on printer
Answer1090,had,similar problem
Answer1090,using,left side
rod,hits,stop
rod,hits stop on,your ruler
level,is with,metal plate Now I would suggest
your X-Axis,is,Now level
User1090,should find,that
Answer1091,Apparently go to,FULL settings
Answer1091,can tell,Cura
same,is,driver chip
stepper motor,is with,same symptoms
steppers,use,fuse
fuse,would affect all,them
E1,works fine for,now
E1,works,fine
User1092,change over,firmware
PLA,conducts,heat lot better than other materials
heat,better,lot
drive bolt,digs into,filament
User1093,are,done
User1093,manually clear,it
contact area,is,tiny
contact area,is tiny by,apparently design
Lulzbot tech support,explain,their design philosophy
Answer1093,Perhaps am misunderstanding,purpose of heatsink altogether
Answer1093,saw,very minimal contact area
Answer1093,did,two things
Answer1093,have,things try
Answer1093,have,breakthrough
Answer1093,will certainly post on,forum
Dual Extruder V2,So came at_time,today
issue,is,fan ducts
duct,cools,hotends
options,printing filament types in,extruder
Answer1094,have mixed,emotions
Answer1094,have mixed emotions about,this
Answer1094,have,utmost respect for Lulzbot
folks,re-visit,duct design
folks,re-visit duct design for,Extruder v2
Answer1094,got too,mine
These,be run at,300 c
screw,pulled out,it
Sebastian,has,link under his signature
Answer1095,can find,it
quick answer,is,no
Answer1097,ordered,V2
Answer1097,plan,print
Answer1097,ordered V2 for,now
Answer1097,need for,Flexstruder
common x-carriage,mount as,single extruder
Answer1097,'d pre-assemble,sure
Answer1097,wonder,I can do
User1097,want to,extrude filaments
extruder,can,can used
PTFE tube,replaces,idler
PTFE tube,serves as,guide for filament
cause,failure of,part
Answer1098,look as,surge currents
Answer1098,look at,it
Answer1099,'m wondering about,Thermal Runaway issue
Answer1099,working on,your dual fan mod
Answer1099,just purchased,my Taz
Best,PCH,revision from devel site
nozzle,is in,my signature
User1100,Do did,tightening
nozzle,was,when hot
little,getting,used to
That,has,big
Answer1101,'ve printed,HIPS
Answer1101,'ve printed,ABS
Answer1101,once got,offset
Answer1101,flex,it
User1101,get,one
high,Apparently can cause,parts
parts,become far too well,stuck
Answer1101,setting,software
Answer1101,setting software to,to 60C works well
User1101,need,them
User1101,get,more
User1101,might,On Taz might able
example,change colors rather than,materials
example,change,colors
Answer1103,seeing,video comparison
Lulzbot guys,reduce,noise
people,are also printing,them
PLA,is with,apparently good results
hysteresis,is in,Z-axis
Wikipedia page,be,may as well written in Mandarin
backlash,is,main cause
hysteresis,is,caused
User1103,have,backlash
Hysteresis,is,type
User1103,command,X axis
User1103,command X axis,move to 190 mm
User1103,command,it
indicator,number,you get
high friction,is in,linear guides
difference,is in,measurement
difference,is,hysteresis
Hysteresis,is general term,can apply
Hysteresis,is,general term
Answer1103,am,sure
Buck Converter,added to,my cart
etc,are,totally optional
Answer1104,ordered from,China
Answer1104,have,4
Answer1104,was ordering,fan
Answer1104,was ordering fan from,Amazon
air,has,go through
Answer1104,may use,hole saw
User1104,do,Thanks
http://www.thingiverse.com/thing:1201229,uses,bondtech core
Answer1106,'m working on,standard filliament version of it
Answer1108,keep,tool head
same tool head,just replace,hot end
User1108,print,different parts
someone,doing,google-and-hope method
Good call,is with,printing something fit
Answer1109,'ll give,that
Answer1109,thus leading to,better corner
Answer1109,attempt,fix
Answer1109,would adjust,acceleration
good information,searching,forum
good information,Googling,terms
E-steps,relates to,stepper motors accuracy
motor,should perform,so you request
User1109,extrude,100 mm of filament
more accurate prints,slowing down,things
Yep,'re on,track
toolhead,keep up with,requested movements
things,down allow,toolhead
Answer1109,'m,impatient
Answer1109,guess,said
Answer1109,'m impatient,bit
Answer1109,regularly print at,90mm/s
real key,is,ensure
speed settings,can,can found on Advanced tab
Answer1110,had,same problem
Answer1110,did,something similar
My design,holds,ends of filament guide tubes
Answer1111,'d recommend,extrusion temp
longer,promote,adhesion to layer
advice,is with,ABS
advice,is in,mind
parts,will split On top of,poor layer adhesion
printer,very least move,printer
There could change,is in,temperature varying
Looks,is,too thin
Cura,specifying,shell thickness
Cura,calculate for,you
mm shell,is,standard
User1112,Can post,picture of project bottom
Warping,could indicate,un-level bed
two,using,brackets
two,gauges on,side of toolhead
My preference,is,use
your bed,is,level
folks,call In,case
Answer1112,'ve attached,version
disc,is in,XY
Scale,keep,Z constant
negative Z-offset,found in,Machine settings
thing,add,Z-offset
Might,need also,good part removal tool
Sebastian,see,it
Z,offset,option
Answer1113,use,CURA version 17.10
Most people,got,them
Most people,ordered,10 mm hardened rods off ebay
User1114,do search here in,forums
User1114,do here,search
Answer1116,have,Taz 6 extruder
Answer1116,have,maybe 1 mm clearance for z leveling screw
Answer1116,doing,step 2
Answer1117,did,tests
Printing,is,important
your model,areas of,flat angles
User1117,will see,layer steps at last
User1117,need,lower
User1117,make hard,your layers
User1117,need,0.05 mm
vibration,is in,drive system
User1118,appear,you are talking just below main CPU on board
User1118,be in,correct plug spot with correct polarity
User1119,raise,your tool head
User1119,turning,silver coupler
User1119,Go to,control
User1119,move,it
User1119,Go to,configuration
one screen,click,store memory
User1119,Once are done,please try
User1119,are,Once done
User1119,must locate,4 Allen head screws
User1119,Once have located,them
8 Allen head screws,4 on,side
re-tighten 4 Allen head screws,connected to,Z nut
User1119,Once have,X carriage in middle of printer
Z binding,is,decreased
nothing,do with,Z-Wobble
good information,has,nothing do
play,is in,x carriage
wobble,is from,z-nut
stepper,resolve,your issue
prints,Obviously are getting,ruined
print,is with,filament
Answer1120,attaching,big passive heatsink
Answer1120,left alone,them
My first impulse,reduce,amperage
TAZ4 Electronics,allow,adjustments
Answer1121,get,next box doesnt light up
upgrade,Went back to,flash firmware
upgrade,Went back to,single head
Havent,seen yet but maybe thats,display issue
Answer1122,will check out,it
cable,is,unplugged
cable,is unplugged,I print from SD
Answer1122,same print,has failed twice now
Answer1122,print from,my Mac
Answer1122,am running now,print
SD,reads,errors
SD,has,bad sectors
sort,is with,SD card
Answer1123,reorientated,pictures above
Answer1123,reorientated pictures for,clarification
bearings,is with,kind of teflon
one,are,bearings
Answer1123,found,something
something,is with,Google
extruder,is in,X direction
Answer1123,will try in,next hours
time,is for,then comparison
Answer1123,will print,square
my finger,should dampen,vibration
my finger,should dampen vibration,it comes from extruder
No real difference,is with,finger test
User1124,can hit speeds With,properly reinfroced Taz
User1124,can hit,speeds
User1125,However can make,manual movements with GLCD
movements,are allowed for,Z axis
movements,are,allowed
selection knob,move axis in,millimeters
millimeters,is in,positive direction for negative direction
them,Move,axis area
them,Move axis area in,larger steps
flexistruder,are,beasts
User1126,use,different materials
flexistruder,is,ticket
Answer1126,use,Hexagon
User1126,have,TAZ 5
extruder,allows for,dual extrusion of similar filaments
User1126,'d have,flexidually
User1126,could print,flexistruders
printing,lower frame in,polycarbonate
people,is with,better success printing
Answer1126,'ve read of,people with better success
STLs,can,can found
hotend barrel,should,should locked in place by pressure
User1127,reinstalled,it
User1127,have upside down and backwards,plate itself
channel hotend rides,is in,lower
User1127,would see,gap
gap,is in,metal plate
User1127,Can post,picture
plastruct plastic weld,Also will glue back together well,ABS parts
bed,actually move past,Y-end plates
M4 screw,rotate freely in,aluminum plate
nut,is locked in,place
nut,is,locked
screw,could,could tightened against shoulder of screw
he,has,right
he,'s right about,loctite
fall,is in,temps
air,hitting,end of nozzle
User1131,can buy,refurbished one
Matterhackers,has there,nice ones
Answer1132,complete,job
Answer1132,was,actually able
Answer1132,found,success
Answer1132,using,brims
brims,printing,it
Answer1132,Also had,PEI full
Lulzbot,replaced,my print bed
Answer1132,'m,encouraged
Answer1132,'m encouraged by,this
Answer1132,'ll definitely think about,that from now on
LarryPage,thanks for,kick in pants
User1133,Did say,your printing via USB cable
TAZ4,Does have,metal cover
your printer,Is grounded to,properly grounded outlet
Answer1133,know As,long time
files,are available at,download.lulzbot.com
files,are,available
hobbyist,buying,such expensive program as solidworks
User1134,mod,your printer
Answer1134,have ported files to,FreeCAD
Answer1134,have ported,files
TAZ design,is,open source
Dremel tool,will cut,steel
Dremel tool,is with,abrasive cut off wheel
User1135,can do,job
ends,is with,emery cloth belt
Answer1135,using,cooling water
spool,is in,question
tangle,got,there
Answer1138,push out,loop
Answer1138,push loop out from,from winding exact detail
Answer1138,started,new spool
Answer1138,risk,getting into print
spool,has,1 1/2
anyone,relax,set
filament,placing,that in oven soak
boxy look,is,better more efficient
Truth,be,told
User1139,turning,fan full blast to 100 %
User1139,can test,turning
that,has,great
Answer1139,'m looking,can cooled independently
Answer1139,design,something similar for dual extruder v2
Answer1140,check,idler arm tensioners
problem,using IC3D filament from,amazon
problem,using,IC3D filament
Answer1140,was,able
extrusion temperature,was,250c
Answer1140,push filament through,through hand
User1141,pull,pins
you mess,is with,main power block
User1141,get back,them
User1141,pull pins at,once
fan,leads,swapped
thermistor,fried,your thermistor
User1141,are,lucky
User1141,are,supposed
wires,are,pair
User1141,are supposed,be using
User1141,are probably going,have
wires,make,sure
Ohai instructions,may help,https://ohai.lulzbot.com/group/a16b1f2d 8cca5d62c
User1142,are overextruding,bit
User1142,were near,anywhere 100 %
temperature,seeing,helps
User1142,would want,they were lifting then
User1142,raise,things
other potential issue,is,heat
User1142,have,chassis fan
User1142,have,filliament diameter set at 2.85
Answer1142,looking at,INI file
User1142,change value,match
User1142,measure with,calipers
Filliament,is above,almost always slightly number
User1142,change,value
% infil,start with,part
Answer1143,addressing,most of issues
case,is with,99.9 % of consumer grade 3d printers
TAZ 5,worst experience despite,messiness of resin printing
TAZ,has given,me
Answer1143,read,reviews
Answer1143,would like,get
Answer1143,going with,TAZ 5 something
Answer1143,was,then sold
mount,is giving up,ghost
Answer1143,am getting,Z-ribbing
part cooling,is,horrendous
piercet 's route,going for,linear rails
bearings,even going,piercet 's route
User1143,can buy as,pro option
Aleph Objects,have,rod/bearing kit
see,original post in,thread
Answer1143,am,really frustrated
something,is with,decent overhang
UM original,was,amazing machine
Answer1143,did,mods
Answer1143,Also had,exchange
he,blamed,problem
trade,will between,will speed
printer,has,capabilities
Patience,is,virtue
Answer1143,'m,unimpressed
Answer1143,'m unimpressed with,quality of prints
Answer1143,can look at,other upgrades
Dual cooling fans,will hopefully do,trick
Answer1143,expected out of,box
Answer1143,expected,print quality of sub $ 1000 printer
discojon 's tool head,mount,upgrade
discojon,has,tool head
Answer1143,had,similar feelings about Taz
Answer1143,make better,it
Answer1143,stayed,I knew
Answer1143,get with,my modded R2
parts,printed by,them
Answer1143,have seen with,Even glowing reports of U2
their printer,take,12 hours
print,looks,injection molded
Others,are,unhappy
print,is,printed
Others,are unhappy like,myself
Answer1143,So changed on,whim
Answer1143,have had results with,Gizmo Dorks ABS 2.85 mm filament
Answer1143,have had,excellent results
printer,is,When powered on it
go,thank,you
folks,is in,shop
Elephant,has,foot flaring at base of part
Elephant 's foot,is,normal
User1147,can back down,number
User1147,can back number down by,15 %
overextrusion,going on,there
overextrusion,going in addition to,wobble
User1147,get,time
extruder calibration,might need,adjusted
User1147,might want For,now
User1147,back,filliament diameter
Your bed temperature,should,should fine
minor annoyance,is With,rods
job,start without,manual intervention
alignment,is usually non-issue For,Mini
alignment,is,usually non-issue
users,have,problems with mechanism
users,Regarding,filament diameter
mm,is,size LulzBot Taz
1.75 mm filament,is,terrible
Answer1148,seeing,much need for enclosure
fan speeds,seem,able
bowden tubes,is with,cartesian mechanics
machine,should,should much cheaper
Answer1148,FWIW have,misadventure story related to Airwolf dual-extrusion printers
RepRap community,has,roots
Airwolf,like,that
3D hubs operator,accepted,job for me
he,printed,it
communication,was,excellent
communication,was excellent To,operator 's credit
desk,recommend,me
Answer1149,am,new
Answer1149,appreciate,your help
Budaschozzle,used,Honeywell thermistor
User1150,be,should able
User1150,find,several dual fan setups
Z,is,when homed
Answer1153,pondered,while on
bed,already has,greater mass than single extruder
TPE world,is,un-functional
Squishy plastics,got,hard
nightmare,is with,bowden
Answer1153,retract,3 mm
machine,is,designed
Answer1153,would put,it
bowden,would become,reality for me
bowden,is out,front
filaments,be,saved
Answer1153,overlooked,points
Answer1153,'m,versed
Answer1153,'m,sure
X,is in,Taz firmware
stock X,be,accurate
true,print,hollow cylender
diameter,match,your dimension
wall thickness,should,should uniform
walls,are,thick
User1154,look at,firmware values
Y bed plane,adding,shims
heat,set inserts out of,blocks
heat,set,inserts
variant,is with,adjustable leveling feet
User1154,are seeing in,bed
Ill,measure resistance after,print
Ill,measure,resistance
Im,looking for,4.7 ohms
Printing tall thin objects,is,challenge
Printing tall thin objects,is with,ABS
pain,is in,ass to print
User1156,are going,want
User1156,want,go hotter
User1156,are,limited
User1156,upgrade to,5 firmware
hexagon,just add,PEI sheet
User1156,getting,hexagon
Skirt option,is in,your Slicer
User1156,making,it
User1156,making,needed
many people,build,enclosure
User1156,are in,basement
User1156,can find,plans
X axes,removing bow in,rods
X axes,removing,bow
User1156,several plans for,DIY ones
various methods,do,that
various methods,available,do
Answer1157,am on,my 4th year of printing on 2 machines
Answer1157,have gone through,about 1 year
Answer1157,have gone through,4 hotends
PEI surface,covering,your plate
silicon heater,attached to,underside
PEI,was,severely gouged
User1159,can find here,directions
Answer1160,just hangs on with,one screw
Answer1160,guess fan in,front
Answer1160,guess,fan
Answer1160,'m,new
Answer1160,'m new to,this
Answer1160,'ll have,look again
few times,print,piercets reinforced extruder
Answer1160,used for,TAZ6
piercet,has,reinforced carriage combined with triple fan setup
User1161,can still get,marks
Answer1161,minimise,them
way,slow down,layer speed
orientation,still projects,light evenly across entire print area top to bottom
orientation,hitting,my eyes
Answer1162,stuck,row of lights
That,was,great
Answer1162,just wanted,more
User1162,could easily put something on like,this
User1162,could easily put on,something
actual gcode,looks,fine
part,be part of,upper sections of model
model,part of be,part
Answer1163,'m leaning,more toward hardware issue
Answer1163,'m leaning At,point
Answer1163,using,software control
platform,set,travel speed M203 X192 Y208 Z3
platform,extrude,3 mm of feed stock G92 E0
heater core,is,close
User1164,get,cheap point
point,shoot,thermometer
User1164,open,filliament chamber
Cut,shaped,sections
nozzle,extrude,so
nozzle,heat to,temperature
nozzle,extrude,100 mm
User1164,stay,print
User1164,extrude,molten plastic
nozzle tip,being close to,too bed
nozzle tip,is,blocked
hobbed bolt,cut c section out of,it
hobbed bolt,cut,c section
extruder,gently but firmly pull filliament out of,hotend
Your idea,is,workable
problem,is,scale
rods,are,either
rods,are usually either For,smooth rod installation as glide surface
shorter amount,is with,weights
tension method,works better For,particularily long segment
will effective fix,is with,least amount of effort
Going,will,will probably most effective fix
thicker rods,cost,less than boxed rail approach
time,is in,North America
my printer,kept,resetting
Answer1166,noticed,slight static discharge
my skin,brushed against,Y rods
Answer1166,was wearing,moccasin house shoes
latest heated bed,does seem to,heat
it did heat,is in,one loop
most,do so from,http://i-t-w.com/parts
User1167,doing conversion at,point
leadscrews,are,hardest
User1167,also replace,front Y axis endplate
User1167,can get,most
bed,mount,plate
User1167,omit,mini style leveling
User1168,loaded,print profile for filament
User1168,want,use
extruder,is,cold
Cura,will do,rest
list,setting from,ScottW
he,made for,Simplify3D
head,sags in,middle
User1169,measuring bed levelness with,dial indicator
User1169,measuring,bed levelness
User1169,are doing,print
User1169,be with,it
Answer1169,will turn,thing
them,do for,long prints
Answer1169,damage anymore,mine
E3D Mod,excuse,rat 's nest
rat,has,nest of wires
Answer1170,have,adapter for 16-pin connector
Answer1170,modify,extruder
Answer1170,modify,wantmys2000 's strengthened extruder design
Answer1170,modified,fan ducts
Answer1170,modified fan ducts,they point
Answer1170,just mirrored,model for other side
times,Strengthened,TAZ 5 Extruder Body
Answer1170,account for,my larger sensor
heat,set,screw hole
heat,set screw hole from,mangrove
Answer1170,using bed washers for,bed holder
Answer1170,using,smaller bed washers
Answer1170,'m using,ones from Taz Mini
Z,is,when homed
Answer1171,regulate,temperature
heater,turn up,exhaust fan
User1171,could set,it
Answer1171,have heard of,people
problems,is with,my fully enclosed Taz
User1172,guys,favor
Answer1172,'m building,my v2
height adjustment,also screw on,front
Answer1172,'m trying,see
Thanks,is in,advance
Answer1173,'d attribute,change in bed level
Answer1173,'d attribute change to,removal
Answer1173,'ll check,set screws
Answer1173,moving,z-axis
Answer1174,would suspect,you are looking
User1174,upgrade,hexagon
your resistor,need,replaced
User1174,testing,resistance
red wires,of resistance is,ohms
User1174,will need,replace
User1174,get,open circuit
directions,replacing here,Budaschnozzle resistor
Answer1175,purchased lead screws directly from,Misumi
Answer1175,purchased directly,lead screws
inserts,can,can purchased from McMaster-Carr
Techsavvy34,sold,aluminum corner brackets
Answer1176,half into,Dual V2
Answer1176,am,about month
Answer1176,learned,lot
Answer1176,am,certain other people
User1176,Particularly could see,problems
PVA,is,very flexible
little bit,up bias is,i.e. paper dragging on rear head
Answer1176,am doing,leveling
my new M.O.,just apply,stick
my new M.O.,just apply stick around,perimeter
large prints,using,Cura
Answer1176,am doing,large prints
Answer1176,using,0.25 mm layer thickness
Answer1176,am getting,high-quality parts
Your issue,is with,all of the
problems,post here,them
Answer1176,will help,I can
User1176,have,specific questions
Answer1176,did actually notice,same thing with front extruder dipping in middle of X axis
PVA support material,print for,most part
Answer1176,was OK with,imperfections
problems,really started on,print
Answer1176,just use,different filament
issues,are around,printing
printing,is with,two colors of same types of filaments
best results,is in,single extrusion prints for me
Answer1176,had,results
print temperatures,as low as,205
Answer1176,had results with,potentially compromised layer adhesion
Answer1176,'ve taken print temperatures for,nGen materials
Answer1177,get,my esteps absolutely bang on
Answer1177,also bought,dial gauge
Answer1177,'ve spent at_time,last two days
massive differences,tiny changes in,height
axis stop,make,massive differences
Answer1177,'ve managed,get
small 4.4 mm W,centre with,z set at .11 mm above centre of print bed
results,print,quality wise
prints,are coming out,slightly wider
my nozzle,always eventually ends up,rubbing into part of print
my nozzle,causes,chaos
my nozzle,set to,piece
Answer1177,'m going,look at tomorrow
Answer1177,'m also beginning,wonder
Answer1177,wonder,wants
first layers,are,set
rest,is in,lulzbot cura profiles
firm,handle on,extrusion rate
Answer1178,'ve had,my Taz
Answer1178,struggled,getting
User1178,can see here,pics
User1178,'re,findings
User1178,'re findings,it relates
